tweet_id,favorites,retweets,user_followers,user_favourites,date_time
771380798096281600,10489,5072,8822107,145808,2016-09-01 16:14:48+00:00
771171053431250945,0,7451,8822107,145808,2016-09-01 02:21:21+00:00
771136648247640064,9156,2922,8822107,145808,2016-09-01 00:04:38+00:00
771102124360998913,6247,1442,8822107,145808,2016-08-31 21:47:27+00:00
771014301343748096,6876,1657,8822107,145808,2016-08-31 15:58:28+00:00
770787852854652928,4926,1200,8822107,145808,2016-08-31 00:58:39+00:00
770772759874076672,5173,1416,8822107,145808,2016-08-30 23:58:40+00:00
770655142660169732,7350,1765,8822107,145808,2016-08-30 16:11:18+00:00
770414278348247044,6336,2099,8822107,145808,2016-08-30 00:14:12+00:00
770293558247038976,6249,1475,8822107,145808,2016-08-29 16:14:30+00:00
770093767776997377,0,3050,8822107,145808,2016-08-29 03:00:36+00:00
770069151037685760,7602,2299,8822108,145808,2016-08-29 01:22:47+00:00
769940425801170949,31340,9561,8822108,145808,2016-08-28 16:51:16+00:00
769695466921623552,6417,1682,8822108,145808,2016-08-28 00:37:54+00:00
769335591808995329,0,7721,8822108,145808,2016-08-27 00:47:53+00:00
769212283578875904,5396,1717,8822108,145808,2016-08-26 16:37:54+00:00
768970937022709760,14358,6500,8822108,145808,2016-08-26 00:38:52+00:00
768909767477751808,0,2668,8822108,145808,2016-08-25 20:35:48+00:00
768855141948723200,4201,886,8822108,145808,2016-08-25 16:58:45+00:00
768609597686943744,4123,1202,8822108,145808,2016-08-25 00:43:02+00:00
768596291618299904,5044,1280,8822108,145808,2016-08-24 23:50:10+00:00
768554158521745409,0,5843,8822108,145808,2016-08-24 21:02:45+00:00
768473857036525572,13626,3421,8822108,145808,2016-08-24 15:43:39+00:00
768193404517830656,10869,3538,8822107,145808,2016-08-23 21:09:14+00:00
767884188863397888,4737,1379,8822107,145808,2016-08-23 00:40:31+00:00
767754930266464257,15993,5377,8822107,145808,2016-08-22 16:06:54+00:00
767500508068192258,7504,2336,8822107,145808,2016-08-21 23:15:55+00:00
767191397493538821,12307,3753,8822107,145808,2016-08-21 02:47:37+00:00
767122157629476866,10175,2850,8822107,145808,2016-08-20 22:12:29+00:00
766864461642756096,0,5616,8822107,145808,2016-08-20 05:08:29+00:00
766793450729734144,5068,1352,8822107,145808,2016-08-20 00:26:19+00:00
766714921925144576,2612,376,8822107,145808,2016-08-19 19:14:16+00:00
766693177336135680,4007,794,8822107,145808,2016-08-19 17:47:52+00:00
766423258543644672,5994,1583,8822107,145808,2016-08-18 23:55:18+00:00
766313316352462849,6794,1886,8822107,145808,2016-08-18 16:38:26+00:00
766078092750233600,0,2619,8822107,145808,2016-08-18 01:03:45+00:00
766069199026450432,4223,852,8822107,145808,2016-08-18 00:28:24+00:00
766008592277377025,3738,495,8822107,145808,2016-08-17 20:27:34+00:00
765719909049503744,7234,2146,8822107,145808,2016-08-17 01:20:27+00:00
765669560888528897,5188,1219,8822107,145808,2016-08-16 22:00:23+00:00
765395769549590528,26607,3374,8822108,145808,2016-08-16 03:52:26+00:00
